Date,Category,Subcategory,Description,Amount,PaymentMethod,Vendor,Notes
2026-07-01,Housing,House Rent,Monthly rent,18000,Net Banking,Landlord,
2026-07-03,Utilities,Electricity,July bill,1850,UPI,State Power,
2026-07-04,Utilities,Internet,Broadband,999,UPI,FiberNet,
2026-07-06,Food,Groceries,Weekly groceries,3200,Debit Card,BigBasket,
2026-07-08,Transport,Fuel,Petrol,2500,Credit Card,HP Petrol,
2026-07-11,Food,Restaurant,Dinner out,1450,Credit Card,Cafe Delight,
2026-07-14,Entertainment,OTT Subscription,Streaming,649,Credit Card,StreamCo,
2026-07-17,Health,Gym,Monthly membership,1500,UPI,FitClub,
2026-07-20,Shopping,Electronics,Wireless earbuds,4999,Credit Card,GadgetHub,
2026-07-24,Food,Groceries,Top-up groceries,1800,Debit Card,Local Mart,
2026-06-01,Housing,House Rent,Monthly rent,18000,Net Banking,Landlord,
2026-06-05,Food,Groceries,Weekly groceries,3100,Debit Card,BigBasket,
2026-06-09,Transport,Fuel,Petrol,2400,Credit Card,HP Petrol,
2026-06-15,Medical,Medicines,Pharmacy,780,UPI,MedPlus,
